subjet,eda,bvp,temp,emotion
1,0.32,20.6,27.03,1
1,0.31,78.94,27.03,1
1,0.32,-45.0,27.03,1
1,0.31,-10.08,27.03,1
1,0.31,16.23,27.03,1
1,0.32,-83.32,27.05,1
1,0.32,-161.96,27.05,1
1,0.32,-77.68,27.05,1
1,0.31,-18.1,27.05,1
1,0.32,-43.48,27.05,1
1,0.32,-84.27,27.05,1
1,0.32,113.31,27.05,1
1,0.31,306.37,27.05,1
1,0.32,101.16,27.05,1
1,0.31,190.07,27.05,1
1,0.32,53.17,27.05,1
1,0.32,18.08,27.05,1
1,0.32,-144.02,27.07,1
1,0.32,-53.84,27.07,1
1,0.32,-152.55,27.07,1
1,0.32,48.36,27.07,1
1,0.32,-85.3,27.09,1
1,0.32,100.16,27.09,1
1,0.32,81.34,27.09,1
1,0.32,27.62,27.09,1
1,0.32,-93.54,27.07,1
1,0.32,27.29,27.07,1
1,0.32,17.53,27.07,1
1,0.32,-0.59,27.07,1
1,0.32,23.23,27.09,1
1,0.32,44.97,27.09,1
1,0.32,29.77,27.09,1
1,0.32,-68.8,27.09,1
1,0.32,-9.34,27.09,1
1,0.32,-12.27,27.09,1
1,0.32,-22.39,27.09,1
1,0.32,-2.85,27.09,1
1,0.32,11.48,27.11,1
1,0.32,3.69,27.11,1
1,0.32,19.02,27.11,1
1,0.32,-23.2,27.11,1
1,0.32,7.05,27.15,1
1,0.32,46.12,27.15,1
1,0.0,-0.03,31.03,0
1,0.09,5.06,31.03,0
1,0.14,17.91,31.03,0
1,0.14,79.34,31.03,0
1,0.15,228.25,31.03,0
1,0.19,-486.42,31.03,0
1,0.19,-6.01,31.03,0
1,0.19,154.76,31.03,0
1,0.18,32.66,31.13,0
1,0.17,-16.04,31.13,0
1,0.17,-29.38,31.13,0
1,0.16,-9.28,31.13,0
1,0.16,-5.46,31.11,0
1,0.16,2.31,31.11,0
1,0.15,8.32,31.11,0
1,0.15,18.72,31.11,0
1,0.14,15.08,31.05,0
1,0.15,-63.81,31.05,0
1,0.15,-60.33,31.05,0
1,0.14,-1.21,31.05,0
1,0.14,-74.34,31.11,0
1,0.14,209.16,31.11,0
1,0.14,11.51,31.11,0
1,0.14,-41.12,31.11,0
1,0.14,30.9,31.17,0
1,0.15,65.97,31.17,0
1,0.14,-105.74,31.17,0
1,0.14,40.38,31.17,0
1,0.14,-155.78,31.23,0
1,0.14,108.79,31.23,0
1,0.14,185.57,31.23,0
1,0.13,74.97,31.23,0
1,0.13,-38.17,31.05,0
1,0.13,-257.05,31.05,0
1,0.13,168.09,31.05,0
1,0.13,5.9,31.05,0
1,0.13,-102.95,30.95,0
1,0.13,-34.4,30.95,0
1,0.13,20.12,30.95,0
1,0.12,267.68,30.95,0
1,0.13,-40.2,31.25,0
1,0.13,-10.99,31.25,0
1,0.13,-89.37,31.25,0
1,0.13,-123.25,31.25,0
1,0.13,47.51,31.37,0
1,0.13,20.87,31.37,0
1,0.13,101.39,31.37,0
1,0.13,24.31,31.37,0
1,0.13,23.38,31.43,0
1,0.13,-28.01,31.43,0
1,0.13,161.04,31.43,0
1,0.13,22.71,31.43,0
1,0.13,-355.41,31.49,0
1,0.12,-180.21,31.49,0
1,0.12,212.71,31.49,0
1,0.12,117.33,31.49,0
1,0.12,107.04,31.51,0
1,0.12,-93.6,31.51,0
1,0.12,42.76,31.51,0
1,0.12,133.37,31.51,0
1,0.12,101.63,31.57,0
1,0.12,35.55,31.57,0
1,0.12,-160.06,31.57,0
1,0.12,-161.57,31.57,0
1,0.12,24.81,31.59,0
1,0.12,68.26,31.59,0
1,0.12,-115.76,31.59,0
1,0.12,-20.74,31.59,0
1,0.12,49.05,31.55,0
1,0.12,38.91,31.55,0
1,0.13,13.7,31.55,0
1,0.12,17.15,31.55,0
1,0.12,-41.92,31.53,0
1,0.12,10.74,31.53,0
1,0.12,4.74,31.53,0
1,0.12,-2.91,31.53,0
1,0.12,27.82,31.51,0
1,0.12,-6.97,31.51,0
1,0.12,-3.11,31.51,0
1,0.12,-66.68,31.51,0
1,0.12,23.12,31.49,0
1,0.12,-52.58,31.49,0
1,0.12,-22.71,31.49,0
1,0.12,-78.39,31.49,0
1,0.12,12.01,31.49,0
1,0.12,65.72,31.49,0
1,0.12,-28.04,31.49,0
1,0.12,-89.54,31.49,0
1,0.12,167.35,31.47,0
1,0.11,294.2,31.47,0
1,0.1,-162.05,31.47,0
1,0.1,-61.81,31.47,0
1,0.1,90.75,31.57,0
1,0.1,-84.86,31.57,0
1,0.1,15.81,31.57,0
1,0.1,36.63,31.57,0
1,0.09,-19.34,31.59,0
1,0.08,34.53,31.59,0
1,0.08,-89.19,31.59,0
1,0.09,193.33,31.59,0
1,0.11,-109.43,31.63,0
1,0.11,-101.5,31.63,0
1,0.12,27.15,31.63,0
1,0.13,70.94,31.63,0
1,0.13,112.54,31.65,0
1,0.13,-81.88,31.65,0
1,0.14,-186.91,31.65,0
1,0.14,-46.08,31.65,0
1,0.14,12.48,31.69,0
1,0.15,209.45,31.69,0
1,0.15,88.73,31.69,0
1,0.16,-13.48,31.69,0
1,0.15,-20.82,31.71,0
1,0.16,-18.95,31.71,0
1,0.17,15.58,31.71,0
1,0.17,208.27,31.71,0
1,0.16,-239.54,31.71,0
1,0.15,39.32,31.71,0
1,0.0,-0.03,26.97,0
1,0.21,5.06,26.97,0
1,0.29,17.91,26.97,0
1,0.28,79.34,26.97,0
1,0.29,228.25,26.97,0
1,0.28,-486.5,26.97,0
1,0.28,-5.9,26.97,0
1,0.28,156.15,26.97,0
1,0.29,46.78,26.97,0
1,0.29,4.05,26.97,0
1,0.28,0.13,26.97,0
1,0.29,0.72,26.97,0
1,0.29,3.13,26.99,0
1,0.29,12.74,26.99,0
1,0.29,17.69,26.99,0
1,0.29,-13.54,26.99,0
1,0.29,11.85,26.99,0
1,0.29,60.13,26.99,0
1,0.29,98.94,26.99,0
1,0.28,-205.73,26.99,0
1,0.28,-94.84,26.97,0
1,0.28,-70.41,26.97,0
1,0.28,44.61,26.97,0
1,0.27,138.7,26.97,0
1,0.28,118.16,27.01,0
1,0.27,-1.8,27.01,0
1,0.27,-14.09,27.01,0
1,0.27,-5.64,27.01,0
1,0.27,-17.04,26.97,0
1,0.27,-33.42,26.97,0
1,0.27,-11.09,26.97,0
1,0.27,0.34,26.97,0
1,0.27,15.1,26.99,0
1,0.27,6.07,26.99,0
1,0.27,6.32,26.99,0
1,0.27,7.46,26.99,0
1,0.28,-6.84,26.97,0
1,0.27,-6.4,26.97,0
1,0.27,-10.94,26.97,0
1,0.27,9.12,26.97,0
1,0.27,9.23,26.97,0
1,0.27,-3.2,26.97,0
1,0.28,-12.92,26.97,0
1,0.27,22.14,26.97,0
1,0.28,36.07,26.97,0
1,0.27,-11.05,26.97,0
1,0.28,-0.15,26.97,0
1,0.27,1.84,26.97,0
1,0.28,-4.98,26.97,0
1,0.27,0.7,26.97,0
1,0.27,-9.95,26.97,0
1,0.27,6.53,26.97,0
1,0.27,-1.48,26.95,0
1,0.27,-4.66,26.95,0
1,0.27,7.66,26.95,0
1,0.27,2.54,26.95,0
1,0.27,3.09,26.99,0
1,0.27,-12.63,26.99,0
1,0.27,-41.04,26.99,0
1,0.27,15.37,26.99,0
1,0.27,30.19,26.99,0
1,0.27,12.5,26.99,0
1,0.27,-1.72,26.99,0
1,0.27,-15.73,26.99,0
1,0.27,10.76,26.99,0
1,0.28,-11.98,26.99,0
1,0.27,5.06,26.99,0
